Timestamp,Scenario,Temp,Hum,AccX_RMS,AccY_RMS,AccZ_RMS
2026-04-01 21:57:33,D0,25.72,49.0,2695.782094309553,2358.083376388545,1984.1094047456154
2026-04-01 21:57:34,D0,25.72,49.0,2696.0710802944345,2358.003276079149,1983.6554085828516
2026-04-01 21:57:35,D0,25.7,49.0,2693.3211598322246,2363.463242785891,1982.1888053361617
2026-04-01 21:57:36,D0,25.7,49.0,2689.029055253959,2367.009283885469,1983.3683319040867
2026-04-01 21:57:37,D0,25.7,49.0,2689.299390175813,2364.85185793952,1983.3783174170276
2026-04-01 21:57:38,D0,25.7,49.0,2690.901060983105,2362.405270058463,1984.0643008733362
2026-04-01 21:57:39,D0,25.7,49.0,2691.919649618094,2361.3777037992036,1984.0941409116656
2026-04-01 21:57:40,D0,25.7,49.0,2692.159556935658,2360.721247839312,1984.4005870791311
2026-04-01 21:57:41,D0,25.68,49.0,2692.1200196127957,2360.567571581038,1984.637500905392
2026-04-01 21:57:42,D0,25.68,49.0,2692.2492622340897,2359.8933747099677,1985.0310853989165
2026-04-01 21:57:43,D0,25.68,49.0,2692.3596379384385,2359.0723833744482,1985.876567161212
2026-04-01 21:57:44,D0,25.67,49.0,2691.689021785392,2359.133448959596,1986.6650472588478
2026-04-01 21:57:45,D0,25.67,49.0,2690.8846482151553,2359.4567997740496,1987.338204735168
2026-04-01 21:57:46,D0,25.67,49.0,2691.233665068866,2358.4996565613487,1987.9737649174347
2026-04-01 21:57:47,D0,25.66,49.0,2691.1835110226134,2357.9826801738814,1988.6087951128045
2026-04-01 21:57:48,D0,25.66,49.0,2690.2441097417163,2358.6030802150667,1989.2607948682846
2026-04-01 21:57:49,D0,25.66,49.0,2690.314193546917,2358.0553704270815,1989.8758906022256
2026-04-01 21:57:50,D0,25.66,49.0,2691.50017833921,2356.391223884523,1990.1123938109627
2026-04-01 21:57:51,D0,25.64,49.0,2690.7444490326466,2356.6676367277587,1990.8343728195975
2026-04-01 21:57:52,D0,25.64,49.0,2690.6041198957532,2356.293080242778,1991.4496152300715
2026-04-01 21:57:53,D0,25.64,49.0,2691.560933733435,2354.7769214938385,1991.95846593246
2026-04-01 21:57:54,D0,25.63,49.0,2691.2649925267483,2354.539317998321,1992.54453651606
2026-04-01 21:57:55,D0,25.63,49.0,2691.234956297945,2354.235927004768,1992.9563693166992
2026-04-01 21:57:56,D0,25.63,49.0,2692.299000854103,2352.7839956103066,1993.367274237239
2026-04-01 21:57:57,D0,25.61,49.0,2691.298183033608,2353.343914518233,1994.036785016766
2026-04-01 21:57:58,D0,25.61,49.0,2690.6596328781534,2353.4843657861848,1994.7635072860141
2026-04-01 21:57:59,D0,25.61,49.0,2691.538520995009,2352.041976666233,1995.2420855625514
